"Daily Weather Observations for Brisbane, Queensland for April 2016"
"Prepared at 13:04 GMT on Saturday 14 May 2016   IDCJDW4019.201604"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-04-1,19.5,29.5,0,5.4,10.7,ENE,22,17:27,25.4,58,1,W,4,1019.6,27.1,58,4,E,13,1016.4
,2016-04-2,19.9,30.4,0,5.0,10.1,ENE,22,14:18,25.3,69,2,WSW,6,1019.9,29.6,51,1,NE,7,1016.0
,2016-04-3,19.6,30.1,0,5.0,10.8,E,26,13:57,25.3,68,2,W,6,1020.1,28.5,52,2,ESE,11,1017.9
,2016-04-4,21.4,30.0,0,7.2,8.6,SE,37,14:46,26.4,60,3,SSE,11,1020.0,28.7,38,4,ESE,17,1016.4
,2016-04-5,18.9,29.1,0,8.0,10.7,E,33,15:47,25.9,56,2,SSW,6,1019.7,27.7,42,2,ESE,15,1016.8
,2016-04-6,18.0,29.6,0,7.0,10.8,ENE,20,10:23,24.8,59,1,SSW,6,1021.1,28.1,50,1,ENE,11,1017.5
,2016-04-7,18.5,30.8,0,4.4,10.2,NE,22,14:12,24.8,68,1,SW,4,1020.5,28.9,48,3,ENE,9,1017.0
,2016-04-8,20.1,29.8,0,7.2,7.1,ENE,17,15:05,26.7,65,7,N,2,1021.5,28.6,54,6,ENE,7,1018.8
,2016-04-9,19.4,30.1,0,4.6,9.5,E,20,14:38,25.9,72,1,NW,2,1021.7,28.4,53,1,ENE,9,1018.9
,2016-04-10,19.1,29.7,0,5.0,9.8,ENE,22,13:34,26.2,61,1,WNW,6,1021.1,28.7,58,1,NNE,9,1017.1
,2016-04-11,21.7,30.5,0,5.0,0.7,W,19,12:01,25.8,69,8,WNW,2,1017.9,29.0,44,7,S,4,1014.6
,2016-04-12,20.3,27.6,0,3.2,2.5,E,24,09:31,25.0,72,7,ESE,13,1019.4,26.2,57,6,SE,6,1016.8
,2016-04-13,18.8,28.5,0,4.8,10.0,SSE,35,15:35,25.4,59,2,SSE,7,1022.4,27.1,46,1,ESE,17,1020.7
,2016-04-14,18.8,27.3,1.4,7.2,5.1,ESE,41,14:24,22.3,76,6,SSE,11,1025.4,25.3,51,6,ESE,17,1023.4
,2016-04-15,16.8,26.5,0.6,6.4,6.1,ESE,28,12:00,22.8,55,2,SSW,7,1024.7,23.0,68,7,W,4,1021.3
,2016-04-16,15.9,27.3,0.4,4.2,6.3,ESE,19,12:30,22.7,59,6,SW,6,1020.7,24.9,56,7,E,11,1017.1
,2016-04-17,17.6,28.2,0,3.8,7.4,ENE,24,14:30,22.0,69,6,WSW,6,1019.4,26.5,52,5,E,11,1015.5
,2016-04-18,17.6,28.3,0,3.0,10.4,E,22,13:45,24.3,59,1,SSW,6,1018.7,25.4,55,3,E,9,1015.3
,2016-04-19,17.7,28.7,0,6.4,9.1,E,20,15:31,23.6,61,6,SW,6,1020.3,26.0,56,7,ENE,7,1017.5
,2016-04-20,17.2,30.1,0,4.0,9.8,E,24,15:04,23.3,64,1,WSW,7,1022.0,26.7,57,2,E,11,1019.2
,2016-04-21,17.9,27.7,0,5.2,6.5,SE,20,14:43,23.7,66,5,WSW,6,1022.1,22.7,81,7,SSE,7,1018.6
,2016-04-22,18.5,30.4,4.0,3.4,10.2,ENE,19,15:21,23.9,69,1,SSW,6,1019.9,28.2,55,1,ENE,9,1015.3
,2016-04-23,19.1,30.1,0,5.2,9.4,ESE,22,15:44,24.1,66,1,WSW,6,1018.0,27.1,51,3,E,11,1015.2
,2016-04-24,18.6,28.4,0,6.2,9.7,SSE,41,11:59,23.9,45,1,SSW,7,1021.0,26.0,42,2,SE,7,1019.9
,2016-04-25,16.7,27.6,0,9.0,8.1,SSE,48,10:19,23.1,55,2,SSW,9,1024.4,24.0,53,7,SE,17,1022.6
,2016-04-26,17.2,26.9,1.8,5.4,7.5,ESE,44,13:27,23.0,65,5,S,4,1024.7,25.2,54,4,ESE,13,1022.7
,2016-04-27,17.5,27.1,0,5.4,5.3,ESE,31,10:46,24.2,57,3,SE,9,1024.2,24.3,64,7,ESE,9,1021.3
,2016-04-28,17.3,28.3,1.4,4.0,6.6,ENE,26,13:36,22.6,76,7,W,7,1024.0,23.9,70,7,E,6,1021.6
,2016-04-29,17.3,25.6,0.6,4.4,0.7,E,20,14:46,19.5,85,7,SSW,2,1024.5,23.9,74,7,E,9,1020.3
,2016-04-30,19.4,29.3,2.6,0.0,5.9,ENE,19,14:53,23.5,79,7,W,6,1022.0,27.4,61,4,ENE,11,1018.0