"Daily Weather Observations for Darwin, Northern Territory for April 2016"
"Prepared at 13:10 GMT on Saturday 14 May 2016   IDCJDW8014.201604"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-04-1,23.5,32.6,4.6,6.2,5.7,ENE,46,01:29,25.9,84,7,ENE,7,1012.4,31.6,65,6,W,13,1009.4
,2016-04-2,22.5,34.4,21.4,7.2,9.6,E,57,04:17,29.3,75,7,SE,9,1014.0,34.1,50,3,ESE,11,1010.3
,2016-04-3,26.0,34.1,0,4.8,8.1,E,33,11:41,30.7,67,1,ENE,13,1013.0,33.4,49,7,ESE,13,1009.8
,2016-04-4,24.4,34.6,4.0,5.2,9.7,ENE,46,02:56,29.7,82,5,SW,7,1011.8,32.9,66,6,NW,19,1008.6
,2016-04-5,26.0,33.3,0,5.8,9.1,NW,24,13:38,29.4,79,7,N,6,1011.7,31.3,66,5,NNW,17,1008.7
,2016-04-6,25.9,33.3,0,5.8,6.9,N,46,14:28,30.1,77,3,NE,9,1012.8,31.0,68,4,NNW,13,1009.5
,2016-04-7,23.3,34.1,14.0,7.6,10.5,E,52,04:27,27.2,72,3,SE,13,1013.5,33.8,46,3,WNW,20,1009.8
,2016-04-8,26.1,34.5,0,6.4,10.8,ESE,30,12:58,29.9,75,5,ESE,11,1012.6,33.7,43,2,ESE,13,1008.8
,2016-04-9,25.3,34.7,0,5.4,11.2,ENE,31,14:17,30.2,66,5,ESE,13,1012.2,33.9,46,4,ENE,15,1009.0
,2016-04-10,26.1,35.0,0,5.0,11.1,E,41,11:11,30.1,72,1,SE,15,1012.6,34.3,41,3,E,24,1009.3
,2016-04-11,25.7,35.9,0,9.2,11.2,E,39,12:28,29.3,70,3,SE,17,1012.6,35.3,33,1,ENE,22,1009.0
,2016-04-12,25.6,36.0,0,6.8,10.7,E,43,13:47,30.3,63,4,ENE,15,1012.9,35.4,33,6,ESE,24,1008.7
,2016-04-13,26.1,35.7,0,9.8,9.5,ENE,44,14:06,28.8,80,5,ENE,13,1011.7,35.3,30,4,ESE,26,1008.2
,2016-04-14,23.4,33.9,1.6,5.6,7.9,ESE,44,05:15,27.8,84,7,N,11,1012.3,33.0,49,6,E,11,1009.2
,2016-04-15,25.5,33.6,0,6.4,5.9,SE,28,06:03,27.1,79,7,NE,4,1013.3,32.3,58,6,NW,13,1009.8
,2016-04-16,24.5,33.7,0,5.6,11.1,NW,28,16:31,30.2,72,3,N,6,1012.1,32.8,58,7,WNW,20,1008.7
,2016-04-17,25.8,34.0,0.4,6.2,7.2,SSE,35,19:40,30.4,76,1,NNE,13,1012.0,32.1,61,7,NW,20,1008.2
,2016-04-18,25.0,34.5,0,5.2,6.9,ENE,37,06:25,27.2,76,6,NE,9,1012.0,33.4,48,3,E,13,1008.4
,2016-04-19,25.5,34.0,0,4.4,7.9,S,30,18:49,27.8,83,3,NNE,11,1012.6,32.4,54,5,ENE,15,1009.0
,2016-04-20,25.4,33.6,0,4.8,9.5,E,33,06:37,28.8,68,3,NNE,13,1013.8,31.6,57,3,NNW,17,1010.4
,2016-04-21,24.9,35.7,0,5.2,11.1,E,41,14:12,29.9,65,1,E,13,1013.1,34.7,30,1,E,24,1009.1
,2016-04-22,24.9,35.9,0,6.0,11.0,E,41,12:18,30.1,68,1,E,11,1012.6,34.8,26,4,SE,22,1009.0
,2016-04-23,24.9,35.5,0,8.0,9.8,E,52,12:01,29.8,63,5,SSE,13,1012.4,34.7,34,5,ENE,20,1008.7
,2016-04-24,23.9,35.4,0,8.0,10.8,SSE,56,15:17,29.6,52,5,SE,4,1012.6,34.6,26,5,SSE,11,1008.9
,2016-04-25,23.7,35.6,0,9.0,11.1,ESE,57,08:01,29.0,57,1,E,7,1012.7,35.0,26,1,ESE,20,1009.3
,2016-04-26,23.3,35.4,0,8.0,10.0,E,33,13:27,27.1,77,4,ENE,20,1011.7,33.9,37,2,ENE,13,1008.4
,2016-04-27,25.4,34.2,0,4.6,8.3,NNW,31,15:31,28.8,74,4,NE,9,1011.7,33.7,51,3,N,15,1007.7
,2016-04-28,24.7,34.9,0.2,4.2,10.2,ENE,35,13:41,28.8,75,2,NE,20,1011.5,34.1,35,2,NE,19,1008.5
,2016-04-29,26.8,33.5,0,6.2,8.8,NNE,31,12:44,29.6,75,2,SE,9,1012.5,32.3,56,2,NNW,13,1009.3
,2016-04-30,25.2,34.2,0,4.4,8.0,ENE,31,11:14,29.3,75,6,S,9,1012.8,32.0,62,7,NW,17,1008.6