"Daily Weather Observations for Perth, Western Australia for April 2016"
"Prepared at 13:08 GMT on Saturday 14 May 2016   IDCJDW6111.201604"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-04-1,15.8,25.3,0,6.0,8.1,SSW,28,10:05,22.0,70,3,ENE,4,1018.0,24.5,54,2,SW,15,1017.0
,2016-04-2,14.1,30.5,0,4.0,9.9,SSW,26,16:09,21.0,65,1,E,9,1022.6,29.9,39,2,NNE,7,1018.8
,2016-04-3,15.5,33.8,0,6.4,10.5,SW,28,16:45,24.5,52,1,ESE,7,1020.8,31.4,36,4,W,13,1016.7
,2016-04-4,15.3,25.1,0,5.2,4.3,SW,37,12:22,21.3,77,7,S,13,1018.0,23.9,63,7,SSW,19,1016.0
,2016-04-5,13.2,22.4,0,6.2,10.5,SSE,37,02:38,16.4,60,1,SSE,15,1024.7,21.5,32,0,SE,15,1022.8
,2016-04-6,10.2,24.3,0,5.8,10.4,ESE,30,11:01,17.1,54,1,ESE,13,1028.9,23.4,33,1,SSE,13,1025.0
,2016-04-7,13.7,24.8,0,6.4,8.3,E,52,07:39,17.4,58,8,E,11,1025.6,24.6,34,7,SE,9,1021.2
,2016-04-8,15.9,27.5,0,4.0,6.3,ESE,24,00:46,19.0,51,7,ESE,9,1019.1,25.8,40,5,NE,11,1016.3
,2016-04-9,17.6,24.1,0,5.8,2.6,SE,31,16:27,18.7,68,8,E,7,1019.8,22.3,63,6,SSE,11,1018.0
,2016-04-10,17.4,26.5,11.2,2.4,7.5,ESE,39,11:58,20.9,65,2,E,15,1020.8,26.3,52,2,E,15,1018.6
,2016-04-11,20.8,23.7,0.2,5.8,0.5,NE,43,09:57,23.4,65,7,NE,22,1020.7,20.0,91,7,NE,19,1021.7
,2016-04-12,18.9,25.0,5.0,1.6,0.8,NNW,24,15:20,21.0,92,7,NNE,9,1021.8,23.9,74,7,WNW,11,1018.7
,2016-04-13,20.0,24.9,3.4,0.8,5.5,SW,24,14:19,21.4,89,7, ,Calm,1020.2,23.7,67,4,WSW,11,1018.6
,2016-04-14,13.9,23.8,0,4.0,5.6,SSW,31,17:47,18.9,86,5,NNE,6,1022.6,21.9,71,6,SSW,13,1021.8
,2016-04-15,13.9,26.7,0,3.4,10.5,SE,31,14:26,20.9,63,2,ESE,11,1025.2,25.5,49,6,E,9,1021.6
,2016-04-16,18.0,32.6,0,6.8,7.7,NNE,35,12:11,23.1,61,7,NE,13,1017.9,28.3,43,7,WNW,13,1014.5
,2016-04-17,17.8,24.4,1.6,4.0,0.0,WNW,31,14:18,19.2,97,7,NNE,7,1017.0,22.7,82,7,NW,13,1014.6
,2016-04-18,15.5,23.3,0,0.2,0.5,SSW,35,22:11,19.6,84,7, ,Calm,1016.4,21.2,69,8,W,7,1013.9
,2016-04-19,15.4,24.3,25.8,1.0,10.1,SW,31,17:05,18.8,97,3,S,2,1015.1,23.0,64,2,WSW,13,1015.1
,2016-04-20,13.0,24.5,0.2,4.0,10.5,SSW,30,15:50,19.2,74,1,ESE,6,1024.2,23.3,56,3,SSW,17,1023.3
,2016-04-21,12.4,25.5,0,3.6,10.5,E,31,09:30,18.1,69,1,E,15,1029.1,24.8,46,1,ESE,11,1025.3
,2016-04-22,14.6,26.1,0,5.0,8.8,ENE,31,08:59,19.5,57,5,ENE,15,1027.1,25.8,37,7,E,13,1023.1
,2016-04-23,17.0,30.0,0,4.8,10.1,NE,37,08:57,21.5,47,2,NE,20,1021.1,29.4,27,2,NNE,11,1016.7
,2016-04-24,15.9,26.5,0,4.2,5.9,NW,28,12:15,22.2,51,8, ,Calm,1014.9,24.8,67,7,WNW,9,1013.8
,2016-04-25,18.8,21.0,2.6,2.4,0.0,W,28,23:58,19.4,94,7,WNW,9,1014.2,20.7,80,8,WNW,9,1012.6
,2016-04-26,17.5,21.5,9.2,3.0,4.9,SW,56,10:44,18.6,79,7,W,15,1009.9,17.5,75,6,WSW,11,1012.0
,2016-04-27,10.1,19.5,2.0,1.6,6.4,SSW,20,13:22,13.1,83,6,NNE,2,1018.6,19.2,49,2,WNW,7,1016.3
,2016-04-28,10.8,20.9,2.0,2.6,5.2,SW,41,14:10,17.5,80,4,NW,9,1015.7,19.7,68,4,W,24,1013.8
,2016-04-29,13.0,21.4,1.2,1.8,5.0,WSW,41,14:30,17.1,82,7,WNW,13,1016.2,20.3,49,5,W,17,1014.5
,2016-04-30,12.4,19.6,3.8,2.8,5.5,SSE,28,12:01,14.6,64,7,SSE,9,1021.0,18.6,46,5,S,9,1019.7